matrix_index,mixture_num,max_key_mol,max_key_idx,max_query_mol,max_weight_val,min_key_mol,min_key_idx,min_query_mol,min_weight_val
429,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,13,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0.62818676,C=CCCCCCCCCC(=O)O,17,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0.023752348
429,0,CC(=O)c1ccccn1,1,CC1=CCC2CC1C2(C)C,0.3061486,C=CCCCCCCCCC(=O)O,17,CC1=CCC2CC1C2(C)C,0.05646847
429,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,13,CCCOC(=O)CCC,0.6383936,CC(C)CC(=O)O,18,CCCOC(=O)CCC,0.1120279
429,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,13,C=CCCCCCCCCC(=O)O,0.70537925,CCCCCC1CCC(=O)O1,2,C=CCCCCCCCCC(=O)O,0.038594957
429,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,13,CC(C)CC(=O)O,0.67965174,CCOC(=O)CC,8,CC(C)CC(=O)O,0.16843346
429,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,CC1CCC(=O)O1,0.3629467,CC(C)CC(=O)O,18,CC1CCC(=O)O1,0.05543304
433,1,Cc1c[nH]c2ccccc12,8,CCOC(=O)C1OC1(C)c1ccccc1,0.35726118,CC(C)CC=O,9,CCOC(=O)C1OC1(C)c1ccccc1,0.040973444
433,1,Cc1c[nH]c2ccccc12,8,CC(=O)Oc1ccc(C)cc1,0.45947996,CCOC(=O)C1OC1(C)c1ccccc1,0,CC(=O)Oc1ccc(C)cc1,0.15320738
433,1,Cc1c[nH]c2ccccc12,8,CC(C)c1ccc(C=O)cc1,0.23220012,CCOC(=O)C1OC1(C)c1ccccc1,0,CC(C)c1ccc(C=O)cc1,0.05829929
433,1,CC(=O)Oc1ccc(C)cc1,1,CCc1cnccn1,0.3720215,CCc1cnccn1,3,CCc1cnccn1,0.06924448
433,1,CC1=CC(=O)CC(C)(C)C1,7,CCCCCCCO,0.50502807,CCCC(O)CC,5,CCCCCCCO,0.19011806
433,1,CC1=CC(=O)CC(C)(C)C1,7,CCCC(O)CC,0.4461056,CC(C)CC=O,9,CCCC(O)CC,0.10257919
433,1,CC(C)c1ccc(C=O)cc1,2,O=C(O)Cc1ccccc1,0.55525607,CCOC(=O)C1OC1(C)c1ccccc1,0,O=C(O)Cc1ccccc1,0.1032045
433,1,CC1=CC(=O)CC(C)(C)C1,7,CC1=CC(=O)CC(C)(C)C1,0.3219284,CC(C)CC=O,9,CC1=CC(=O)CC(C)(C)C1,0.13006304
433,1,CC(C)c1ccc(C=O)cc1,2,Cc1c[nH]c2ccccc12,0.56927204,CCc1cnccn1,3,Cc1c[nH]c2ccccc12,0.1314112
433,1,CCc1cnccn1,3,CC(C)CC=O,0.49897736,CCCCCCCO,4,CC(C)CC=O,0.20805115
434,1,Cc1ccc(OC(=O)C(C)C)cc1,0,Cc1ccc(OC(=O)C(C)C)cc1,0.19826391,Cc1ccc(OC(=O)C(C)C)cc1,0,Cc1ccc(OC(=O)C(C)C)cc1,0.19826391
435,1,CC1=CC(=O)CC(C)(C)C1,3,CCOC(=O)C1OC1(C)c1ccccc1,0.2475044,CCOC(=O)C1OC1(C)c1ccccc1,0,CCOC(=O)C1OC1(C)c1ccccc1,0.09857029
